customer_id,First_Name,last_name,address,City,county,state,ZIP,customer_phone,Fax_Number,currency,Customer_Email,Rental_ID,Weekly_Rate,Parking,Pool_Access,Repeat_Customer,Bedrooms,MGMT_Discount,Date,total_sale
A00320,Emma,Werner,2771 W Pico Blvd,Los Angeles,Los Angeles,CA,90006,440-780-8425,440-579-7763,USD,wer_emma@hpt.net,0,970,False,False,True,1,False,2022-1-7,5500
A00321,Zachary,Mcgrath,201 Poplar Ave,Memphis,Shelby,TN,38103,956-537-6195,956-841-7216,USD,zacharym@gmail.com,0,500,True,True,True,2,False,2022-1-28,4500
A00322,Jay,Mcclain,1881 NW 7th St,Miami,Miami-Dade,FL,33125,602-277-4385,602-953-6360,USA,jay.mcciain@aol.com,0,1190,True,False,False,2,False,2022-1-9,2500
A00323,Tyree,Mays,217 E 49th St,New York,New York,NY,10017,931-313-9635,931-235-7959,USA,mayst@hotmail.com,0,1160,True,True,False,1,False,2022-1-1,3500
A00324,Wendy,Rogers,811 E Westfield Blvd,Indianapolis,Marion,IN,46220,414-661-9598,414-377-2880,None,rogersw@rim.org,0,1230,True,True,False,2,False,2022-1-9,6500
A00325,Rod,Harper,2645 Brooklyn Ave,Kansas City,Jackson,MO,64127,313-288-7937,313-341-4470,USA,harper_rod@aol.com,0,1090,True,True,False,1,False,2022-1-11,4500
A00326,Lloyd,Potter,3505 S Valley View Blvd,Las Vegas,Clark,NV,89103,815-828-2147,815-426-5657,USA,potterl@yahoo.com,0,1120,True,True,True,1,False,2022-1-22,2500
A00327,Kelly,Schroeder,6 S 33rd St,Aston,Delaware,PA,19014,610-545-3615,610-492-4643,None,kellys@hpt.net,0,900,False,True,False,3,True,2022-2-21        ,3500
A00328,Lamon,Stark,378 Greenleaf Ave,San Jose,Santa Clara,CA,95111,408-540-1785,408-813-4592,None,starkla@aol.com,0,1010,True,True,True,3,False,2022-2-13,6500
A00329,Manual,Stout,618 W Yakima Ave,Irving,Dallas,TX,75062,972-303-9197,972-896-4882,USA,mstouk@hotmail.com,0,930,True,True,False,2,False,2022-2-6,6500
A00330,Ella,Elliott,74 S Westgate St,Albany,Albany,NY,12204,518-966-7987,518-448-8982,USA,elliott.el@yahoo.com,0,1000,True,False,True,3,False,2022-2-20,3500
A00331,Bruce,Jefferson,3273 State St,Middlesex,Middlesex,NJ,8846,732-658-3154,732-635-3453,USA,bruce.j@stp.edu,0,660,True,False,False,2,False,2022-2-9,6500
A00332,Benjamin,Rivas,276 Central Ave,Stevens Point,Portage,WI,54481,715-662-6764,715-530-9863,None,rivas_ben@hpt.net,0,730,False,True,False,1,False,2022-2-11,4500
A00307,Anthony,Zion,4795 SW 75th Ave,Miami,Miami-Dade,FL,33155,504-621-8927,504-845-1427,USA,ziona@gmail.com,0,610,False,False,False,1,False,2022-1-4,3500
